@relation risk-train.arff-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R13-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1

@attribute CLASS {no,yes}
@attribute B_EMAIL {yes,no}
@attribute B_TELEFON {no,yes}
@attribute FLAG_LRIDENTISCH {no,yes}
@attribute FLAG_NEWSLETTER {no,yes}
@attribute Z_METHODE {credit_card,check,debit_note,debit_card}
@attribute Z_CARD_ART {Visa,Eurocard,debit_card,Amex}
@attribute Z_CARD_VALID numeric
@attribute Z_LAST_NAME {yes,no}
@attribute VALUE_ORDER numeric
@attribute WEEKDAY_ORDER {Saturday,Monday,Tuesday,Thursday,Wednesday,Friday,Sunday}
@attribute AMOUNT_ORDER numeric
@attribute ANUMMER_01 numeric
@attribute ANUMMER_02 numeric
@attribute ANUMMER_03 numeric
@attribute ANUMMER_04 numeric
@attribute ANUMMER_05 numeric
@attribute ANUMMER_06 numeric
@attribute ANUMMER_07 numeric
@attribute ANUMMER_08 numeric
@attribute ANUMMER_09 numeric
@attribute ANUMMER_10 numeric
@attribute CHK_LADR {no,yes}
@attribute CHK_RADR {no,yes}
@attribute CHK_KTO {no,yes}
@attribute CHK_CARD {no,yes}
@attribute CHK_COOKIE {no,yes}
@attribute CHK_IP {no,yes}
@attribute FAIL_LPLZ {no,yes}
@attribute FAIL_LORT {no,yes}
@attribute FAIL_LPLZORTMATCH {no,yes}
@attribute FAIL_RPLZ {no,yes}
@attribute FAIL_RORT {no,yes}
@attribute FAIL_RPLZORTMATCH {no,yes}
@attribute SESSION_TIME numeric
@attribute NEUKUNDE {yes,no}
@attribute AMOUNT_ORDER_PRE numeric
@attribute VALUE_ORDER_PRE numeric
@attribute MAHN_AKT numeric
@attribute MAHN_HOECHST numeric

@data
no,yes,no,no,no,credit_card,Eurocard,3.2007,yes,54.5,Monday,1,207610,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,10,no,2,55.4,0,0
no,no,no,no,no,credit_card,Visa,6.2005,yes,9.8,Tuesday,1,201373,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,12,yes,0,0,?,?
no,yes,no,no,no,debit_note,?,6.2007,no,98.5,Sunday,2,407610,102089,?,?,?,?,?,?,?,?,yes,no,no,no,no,no,no,no,no,no,no,no,2,no,1,59.07,0,0
no,yes,no,yes,no,check,?,5.2006,?,64.5,Monday,1,107317,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,12,yes,0,0,?,?
no,no,no,no,no,credit_card,Eurocard,3.2005,yes,31.9,Saturday,1,105580,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,9,no,1,11.09,0,0
no,yes,no,yes,no,debit_note,?,2.2006,yes,23.5,Sunday,1,500124,?,?,?,?,?,?,?,?,?,yes,no,no,no,no,no,no,no,no,no,no,no,8,no,1,32.57,0,0
no,yes,no,yes,no,credit_card,Eurocard,4.2005,yes,21.2,Wednesday,2,408126,204921,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,10,yes,0,0,?,?
no,yes,no,yes,no,check,?,5.2005,?,67,Wednesday,2,500124,406774,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,4,yes,0,0,?,?
no,yes,no,yes,no,check,?,11.2005,?,17.5,Thursday,1,102448,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,8,no,2,143.24,0,0
no,yes,no,yes,no,check,?,4.2006,?,46.5,Thursday,1,206520,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,14,yes,0,0,?,?
no,yes,no,yes,no,credit_card,Visa,5.2006,yes,107.5,Wednesday,3,603639,206310,409725,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,6,no,1,20.75,0,0
no,yes,yes,yes,no,check,?,4.2006,?,81.5,Tuesday,2,404921,404645,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,8,yes,0,0,?,?
no,no,no,yes,no,check,?,3.2005,?,60.5,Wednesday,2,204765,408605,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,12,yes,0,0,?,?
no,yes,no,yes,no,debit_note,?,2.2007,yes,52,Saturday,1,104522,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,8,no,1,6.48,0,0
no,yes,yes,no,no,credit_card,Eurocard,3.2006,yes,79.2,Thursday,2,502089,408470,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,11,no,1,12.47,0,2
no,yes,no,yes,no,check,?,2.2006,?,9.99,Friday,1,300214,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,7,no,2,104.08,1,2
no,yes,no,yes,no,check,?,5.2005,?,5.2,Thursday,1,406160,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,2,yes,0,0,?,?
no,yes,no,yes,no,credit_card,Eurocard,5.2006,yes,75.6,Sunday,2,406685,106685,?,?,?,?,?,?,?,?,yes,no,no,no,no,no,no,no,no,no,no,no,7,no,1,16.96,0,0
no,yes,yes,yes,no,check,?,9.2006,?,54.5,Sunday,1,104258,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,7,yes,0,0,?,?
no,no,no,yes,no,check,?,12.2005,?,18.5,Wednesday,1,108777,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,yes,no,no,no,no,10,yes,0,0,?,?
no,yes,no,no,no,credit_card,Visa,8.2007,yes,39.5,Wednesday,1,306284,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,yes,no,no,no,9,no,1,32.89,0,1
yes,no,no,no,no,credit_card,Eurocard,10.2006,yes,28.8,Wednesday,2,508889,602089,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,2,yes,0,0,?,?
no,yes,no,yes,no,check,?,2.2005,?,32.8,Sunday,1,409736,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,3,no,1,58.44,0,0
no,yes,no,yes,no,check,?,9.2007,?,17.99,Sunday,1,302089,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,5,no,1,34.46,1,1
no,yes,yes,yes,no,check,?,2.2007,?,23.5,Tuesday,1,204242,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,yes,no,no,7,yes,0,0,?,?
no,yes,no,no,no,credit_card,Eurocard,2.2006,yes,29.5,Monday,1,403136,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,3,yes,0,0,?,?
no,no,no,yes,no,check,?,7.2007,?,17.5,Sunday,1,400124,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,6,yes,0,0,?,?
no,no,no,yes,no,check,?,2.2007,?,17.8,Sunday,1,509006,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,7,no,2,58.66,0,0
no,yes,no,yes,no,credit_card,Eurocard,10.2005,yes,10.8,Monday,1,202496,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,3,no,1,9.36,0,0
no,yes,no,no,yes,credit_card,Visa,7.2005,yes,62,Saturday,1,102133,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,3,no,1,18.2,0,0
no,no,no,no,no,debit_note,?,10.2006,yes,39.5,Saturday,1,309121,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,11,no,1,54.85,1,1
no,yes,yes,yes,yes,check,?,10.2006,?,73,Wednesday,2,205431,402572,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,11,yes,0,0,?,?
no,yes,no,yes,no,check,?,11.2006,?,19.99,Monday,1,202677,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,11,yes,0,0,?,?
no,yes,no,yes,no,check,?,8.2005,?,23.4,Wednesday,2,208609,202448,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,4,yes,0,0,?,?
no,yes,yes,yes,yes,check,?,9.2005,?,9.99,Monday,1,102090,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,8,yes,0,0,?,?
no,yes,no,no,no,debit_card,debit_card,7.2005,yes,115.3,Monday,3,401856,402634,208777,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,9,no,1,77.37,0,0
no,no,no,yes,no,check,?,3.2007,?,32.8,Thursday,1,507046,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,9,no,2,142.52,0,0
no,yes,no,yes,no,check,?,7.2006,?,68.4,Wednesday,1,104765,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,10,no,1,32.34,0,0
no,yes,no,yes,no,check,?,9.2005,?,22.5,Thursday,2,400767,209725,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,7,yes,0,0,?,?
no,no,no,yes,no,check,?,9.2007,?,19.99,Tuesday,1,201402,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,14,yes,0,0,?,?
yes,yes,no,no,no,credit_card,Visa,8.2005,yes,115.5,Saturday,2,407344,406821,?,?,?,?,?,?,?,?,yes,no,no,no,no,no,no,no,no,no,no,no,11,no,1,18.99,0,0
no,yes,no,no,no,debit_note,?,9.2005,yes,120.1,Saturday,3,303136,403772,508777,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,4,no,1,10.47,0,0
no,yes,yes,no,no,credit_card,Eurocard,8.2007,yes,68.4,Thursday,1,205958,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,5,yes,0,0,?,?
no,yes,yes,no,no,credit_card,Visa,10.2006,yes,19.99,Friday,1,206858,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,6,no,2,39.74,1,1
no,yes,no,yes,no,check,?,1.2007,?,41,Thursday,1,407022,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,12,yes,0,0,?,?
no,yes,yes,yes,no,check,?,5.2005,?,29.99,Friday,1,405284,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,6,yes,0,0,?,?
no,yes,no,yes,no,credit_card,Visa,12.2007,no,53.6,Thursday,2,202469,503397,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,yes,no,17,no,1,7.17,0,0
no,no,no,yes,no,check,?,10.2006,?,90.5,Thursday,3,404645,407416,203772,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,10,no,3,78.6,1,1
no,yes,no,no,no,debit_note,?,2.2005,yes,46.5,Tuesday,1,400822,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,8,yes,0,0,?,?
no,no,no,no,no,debit_note,?,2.2006,yes,54.5,Tuesday,1,407416,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,yes,no,no,9,yes,0,0,?,?
no,yes,no,no,no,debit_note,?,12.2007,yes,14.5,Saturday,1,306398,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,12,yes,0,0,?,?
no,yes,no,no,no,credit_card,Visa,2.2005,yes,53.49,Sunday,2,100214,302496,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,8,yes,0,0,?,?
no,yes,no,no,no,credit_card,Eurocard,7.2007,yes,32.8,Saturday,1,409470,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,5,yes,0,0,?,?
no,yes,no,yes,no,check,?,6.2005,?,17.8,Friday,1,402243,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,11,no,1,83.83,0,0
no,yes,yes,yes,no,check,?,2.2005,?,18,Wednesday,1,104921,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,7,yes,0,0,?,?
yes,yes,no,no,no,credit_card,Visa,7.2007,yes,42.7,Saturday,2,502845,409826,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,10,yes,0,0,?,?
no,yes,no,yes,no,check,?,12.2005,?,10.8,Saturday,1,203136,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,3,yes,0,0,?,?
no,yes,yes,yes,no,check,?,8.2005,?,26,Friday,1,409183,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,13,no,1,17.33,0,1
no,yes,yes,yes,no,check,?,5.2005,?,55.75,Saturday,2,409736,108499,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,12,no,1,12.77,0,0
no,no,yes,yes,no,check,?,11.2005,?,10.8,Saturday,1,406310,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,5,no,1,28.03,0,0
no,yes,no,yes,no,check,?,2.2006,?,18,Thursday,1,200035,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,12,no,2,153.3,0,0
no,yes,no,yes,no,credit_card,Visa,3.2006,no,43.5,Sunday,1,104159,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,13,yes,0,0,?,?
no,yes,no,no,no,credit_card,Visa,8.2007,yes,18.2,Wednesday,1,103776,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,13,yes,0,0,?,?
no,yes,no,no,no,debit_card,debit_card,7.2006,yes,19.99,Friday,1,409200,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,8,no,0,0,?,?
no,yes,no,yes,no,check,?,1.2006,?,30.59,Wednesday,2,205338,101967,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,4,yes,0,0,?,?
no,yes,yes,no,no,credit_card,Visa,1.2005,yes,97.94,Friday,4,204341,404258,509121,508997,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,12,yes,0,0,?,?
no,yes,no,yes,yes,credit_card,Eurocard,10.2006,yes,62,Monday,1,106284,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,10,no,1,80.27,0,0
no,yes,no,yes,no,check,?,7.2006,?,62,Tuesday,1,102845,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,12,no,1,253.49,1,1
no,yes,no,yes,no,check,?,3.2005,?,54.5,Sunday,1,206774,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,5,no,1,26.6,0,0
no,yes,no,yes,no,debit_note,?,8.2007,yes,151.3,Sunday,4,403772,300925,200578,307344,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,8,yes,0,0,?,?
no,yes,no,no,no,credit_card,Visa,11.2005,yes,10.8,Thursday,1,200476,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,13,yes,0,0,?,?
no,yes,no,yes,no,check,?,8.2006,?,52,Wednesday,1,404921,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,9,no,1,34.85,0,0
no,yes,no,yes,no,check,?,12.2006,?,57.8,Saturday,1,108801,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,3,yes,0,0,?,?
no,yes,yes,yes,no,check,?,9.2005,?,34.5,Monday,1,101856,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,5,no,3,76.05,0,1
no,yes,no,yes,no,debit_note,?,7.2005,no,42.8,Tuesday,1,307317,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,7,yes,0,0,?,?
no,yes,yes,yes,no,check,?,10.2006,?,12.6,Saturday,1,404935,?,?,?,?,?,?,?,?,?,yes,no,no,no,no,no,no,no,no,no,no,no,4,no,1,14.93,0,0
no,no,no,yes,no,check,?,9.2005,?,36.3,Saturday,2,302496,103950,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,5,yes,0,0,?,?
no,yes,no,yes,no,debit_note,?,8.2005,yes,54.5,Monday,1,609121,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,yes,no,no,no,3,no,1,63.67,0,0
no,no,yes,yes,no,credit_card,Visa,5.2005,yes,117.75,Saturday,3,403533,200214,401835,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,12,no,1,43.48,0,1
no,yes,no,yes,no,credit_card,Amex,12.2005,yes,42.8,Thursday,1,404269,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,7,yes,0,0,?,?
no,no,no,yes,no,check,?,11.2007,?,57.8,Friday,1,402123,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,8,no,1,41.54,0,0
no,yes,no,no,no,credit_card,Eurocard,11.2006,yes,43.5,Sunday,1,406774,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,12,no,1,12.73,0,0
yes,no,no,no,no,debit_note,?,6.2006,yes,48.7,Sunday,2,109102,403203,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,10,yes,0,0,?,?
yes,yes,no,no,no,credit_card,Eurocard,10.2005,yes,60.3,Sunday,2,407934,404269,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,8,yes,0,0,?,?
no,yes,no,no,no,credit_card,Eurocard,2.2005,yes,68.5,Wednesday,2,503950,100476,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,3,yes,0,0,?,?
no,yes,yes,yes,no,credit_card,Eurocard,2.2006,yes,17.8,Monday,1,504921,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,13,no,1,147.69,0,2
no,no,no,yes,no,check,?,9.2007,?,9.99,Tuesday,1,405580,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,4,yes,0,0,?,?
no,yes,no,yes,no,check,?,10.2006,?,8.5,Monday,1,503639,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,8,no,1,6.93,0,0
yes,no,no,no,no,credit_card,Visa,4.2006,yes,117.8,Saturday,3,104935,105580,308997,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,2,yes,0,0,?,?
no,yes,no,no,yes,credit_card,Eurocard,1.2007,yes,17.5,Wednesday,1,506398,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,11,yes,0,0,?,?
no,yes,no,yes,no,check,?,5.2005,?,18.2,Thursday,1,500578,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,11,yes,0,0,?,?
no,yes,no,yes,no,check,?,10.2007,?,5.2,Saturday,1,200147,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,yes,no,no,8,no,2,232.26,0,0
no,yes,no,yes,no,debit_note,?,4.2005,yes,105.5,Saturday,3,102496,405965,108500,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,4,yes,0,0,?,?
no,yes,no,yes,no,check,?,10.2007,?,49.5,Sunday,4,104645,202697,402062,502496,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,5,no,2,327.8,0,0
no,yes,no,no,no,debit_note,?,6.2007,yes,43.5,Saturday,1,104159,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,6,yes,0,0,?,?
no,yes,no,yes,no,check,?,2.2005,?,5.2,Saturday,1,200147,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,1,yes,0,0,?,?
no,no,no,yes,no,check,?,2.2007,?,74.8,Sunday,2,103950,108889,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,16,yes,0,0,?,?
no,yes,no,no,yes,credit_card,Eurocard,3.2005,yes,16,Monday,1,400767,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,4,yes,0,0,?,?
no,yes,no,yes,no,check,?,4.2007,?,10.8,Friday,1,408470,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,6,yes,0,0,?,?
no,yes,no,no,no,credit_card,Eurocard,3.2007,yes,32.8,Friday,1,409736,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,12,no,2,79.7,1,1
no,yes,no,no,no,credit_card,Eurocard,10.2005,yes,68.4,Thursday,1,308997,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,10,no,3,39.09,0,0
no,no,no,yes,no,check,?,5.2005,?,55.4,Sunday,2,406685,402845,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,9,no,1,17.75,0,0
no,yes,no,yes,no,check,?,1.2005,?,10.8,Monday,1,302133,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,15,yes,0,0,?,?
no,yes,no,yes,no,check,?,11.2006,?,17.8,Wednesday,1,402243,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,12,yes,0,0,?,?
no,yes,no,no,no,debit_card,debit_card,6.2006,yes,9.99,Wednesday,1,406929,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,15,no,1,15.67,1,1
no,no,no,yes,no,check,?,8.2007,?,17.99,Sunday,1,206590,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,9,yes,0,0,?,?
no,yes,yes,no,no,credit_card,Visa,4.2007,yes,64.5,Friday,1,209006,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,10,no,1,17.92,1,1
no,yes,no,no,no,credit_card,Eurocard,1.2007,yes,98,Saturday,3,202133,102611,106284,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,4,yes,0,0,?,?
no,yes,no,yes,no,check,?,1.2007,?,68.4,Sunday,1,205284,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,14,yes,0,0,?,?
no,yes,no,no,no,credit_card,Eurocard,12.2007,yes,54.69,Wednesday,3,406859,204645,409053,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,13,no,1,89.1,0,0
no,yes,yes,yes,no,debit_note,?,8.2005,yes,16,Wednesday,1,402496,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,8,yes,0,0,?,?
no,yes,yes,yes,no,debit_note,?,1.2006,yes,39.5,Sunday,1,309121,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,12,no,3,46.77,0,0
no,yes,no,yes,no,check,?,2.2006,?,19.99,Monday,1,402697,?,?,?,?,?,?,?,?,?,no,no,no,no,no,no,no,no,no,no,no,no,14,no,2,224.86,0,0
